obs,rets,rv,bv
"2003-02-07",-1.07087562000228,1.27737732095806,1.3109971714155
"2003-02-10",0.751892272359012,1.58847483823545,1.09230790374406
"2003-02-11",-0.820636960921206,0.976481474753626,0.739008777005851
"2003-02-12",-1.2602148132606,0.94323479702231,0.976222752617398
"2003-02-13",-0.188328578873964,2.1826194503275,1.50470395450863
"2003-02-14",2.10511140730976,1.76648950616859,1.90181062886748
"2003-02-18",1.97713700730855,1.60574893310071,0.845789344745361
"2003-02-19",-0.735965202861699,0.693776408938859,0.65095228435797
"2003-02-20",-0.945563228374091,0.782495739744983,0.583191744506591
"2003-02-21",1.39674864876191,1.60559810008351,1.27527522636834
"2003-02-24",-1.91553946290277,0.783211732153753,0.694556528412713
"2003-02-25",0.726509918995433,2.33106349876209,1.7722689682355
"2003-02-26",-1.35916029476109,1.27945252201394,0.97140276419447
"2003-02-27",1.17892307294696,1.4649834207919,1.43226636809724
"2003-02-28",0.523102864015534,0.97694948262806,0.966611697733957
"2003-03-03",-0.813837262376538,1.25851551479036,0.88592158958101
"2003-03-04",-1.50418713017437,0.604255289822746,0.47937523132452
"2003-03-05",0.904501398888868,1.20475939666775,1.01354175187051
"2003-03-06",-0.892338760067801,1.50471281140047,0.907609199307538
"2003-03-07",0.780175013376816,1.83697476328847,2.06069773526443
"2003-03-10",-2.58786344566273,0.819442287261855,0.587507930702109
"2003-03-11",-0.866893896316956,1.61860997235448,1.41913949337631
"2003-03-12",0.411374444183377,1.60800779797989,1.94897535455426
"2003-03-13",3.42759342131815,3.20965416696928,1.7143542198886
"2003-03-14",0.127342640946893,2.7494845624113,2.56326886680343
"2003-03-17",3.50942177614053,4.14961142757188,3.35525952354087
"2003-03-18",0.39796443083091,1.57444567850952,1.51813896119469
"2003-03-19",0.894248554140908,1.19903501585612,1.22611672284256
"2003-03-20",0.192057127421119,2.10074214315043,1.92168425705558
"2003-03-21",2.25291978694369,1.5779226445967,1.36014948240115
"2003-03-24",-3.54263730878746,3.36002484756583,1.40508427773439
"2003-03-25",1.19030541623264,1.42761571629691,1.31039043634457
"2003-03-26",-0.530724140749239,1.18465062839252,0.832515442800416
"2003-03-27",-0.199030225098262,1.5878434792517,0.932862794336376
"2003-03-28",-0.548516055247106,1.31587040508347,0.821851948468778
"2003-03-31",-1.83823764874766,2.91287693132695,1.19195358437736
"2003-04-01",1.24011153700456,1.6051084817757,1.17230353859434
"2003-04-02",2.58724331134168,4.15230537208846,1.24833162056203
"2003-04-03",-0.544073460127414,0.59231856101809,0.635040469804013
"2003-04-04",0.281512144472629,1.22186111954728,1.5271602919769
"2003-04-07",0.12966187369523,3.98324549638428,1.92969857706808
"2003-04-08",-0.180890508206399,1.44769747568251,1.10291972725852
"2003-04-09",-1.41166403033237,2.32256501831133,1.74721040097403
"2003-04-10",0.654985218797943,0.66432942325753,0.563243055639007
"2003-04-11",-0.364374501549758,2.25318715212401,1.27453469058196
"2003-04-14",1.89804037225185,0.686817095545592,0.639470016847441
"2003-04-15",0.646464167573058,0.649714534335664,0.603623801940885
"2003-04-16",-1.23119488648635,1.26730018135556,0.937565376168206
"2003-04-17",1.53831836950493,0.609779819556476,0.432536814942711
"2003-04-21",-0.160169388132125,1.12330324956251,0.967178174896705
"2003-04-22",1.98995529401103,1.03199674245647,0.696512005385144
"2003-04-23",0.971072521547889,0.621921601488955,0.612826629414378
"2003-04-24",-0.62004870835759,0.796044739974904,0.599594603414822
"2003-04-25",-1.62389796010389,0.751563992173627,0.47489768744118
"2003-04-28",1.79894887896461,0.861835053579311,0.585503726728438
"2003-04-29",0.351363804409388,1.03747448636017,0.99960278488985
"2003-04-30",-0.224643228133647,1.19268395135695,0.810484495374999
"2003-05-01",0.0141914425840106,1.23858035863753,0.86388038414407
"2003-05-02",1.48760835349844,1.05051734656703,0.984879704587317
"2003-05-05",-0.364165677462491,0.647073591404091,0.797369085164541
"2003-05-06",0.853374051313516,1.02850850149688,0.893993989404224
"2003-05-07",-0.529008085021765,0.922376795497866,0.795139883611078
"2003-05-08",-1.01973838649423,1.35538297303748,0.721998130257319
"2003-05-09",1.42774006911255,0.525259752440004,0.36977685562266
"2003-05-12",1.23739705521597,0.671489173485811,0.541410882841474
"2003-05-13",-0.284033893460478,0.747704460617268,0.657688947636445
"2003-05-14",-0.306132449930363,0.639698138558138,0.582831432829141
"2003-05-15",0.767806942905214,0.813730854898206,0.452962972766395
"2003-05-16",-0.241160223920023,0.691742728755288,0.481885819827258
"2003-05-19",-2.52556278032117,0.771200754921203,0.527428399610115
"2003-05-20",-0.0847503717810838,0.99461364749658,0.9964574397402
"2003-05-21",0.354820005609735,1.46867414039663,1.04552914500221
"2003-05-22",0.939004403774923,0.714643197874176,0.651639375265518
"2003-05-23",0.111532945950454,0.413151503931987,0.316554575231301
"2003-05-27",1.96874510132874,1.00563279690471,0.557588910410041
"2003-05-28",0.197381608907943,0.809955427935439,0.622599463179943
"2003-05-29",-0.440443677804314,0.931908138126975,0.846461091633384
"2003-05-30",1.52639604694391,0.632890429948257,0.558457154709479
"2003-06-02",0.306640662940971,1.04764978348648,0.787777730971102
"2003-06-03",0.482913271318353,0.722951313032705,0.799801138799323
"2003-06-04",1.48258336495513,0.686156802534537,0.643162148590411
"2003-06-05",0.392748832127321,1.11420189010665,0.850596282057043
"2003-06-06",-0.257947188013663,2.6258405251095,1.68383628478982
"2003-06-09",-1.1665058540193,0.778554362228224,0.514462266229133
"2003-06-10",0.899767358062675,0.912005992686281,0.550438832696782
